Date, Open, High, Low, Close
10/08/21, 26.3500, 26.5500, 26.2500, 26.4500
10/07/21, 26.3500, 26.5500, 26.2500, 26.3500
10/06/21, 26.4500, 26.5500, 26.2500, 26.4500
10/05/21, 26.5500, 26.6500, 26.3500, 26.4500
10/04/21, 26.6500, 26.7500, 26.4500, 26.5500
10/01/21, 26.6500, 26.8500, 26.5500, 26.6500
09/30/21, 26.6500, 26.8500, 26.5500, 26.6500
09/29/21, 26.5500, 26.7500, 26.4500, 26.6500
09/28/21, 26.6500, 26.7500, 26.4500, 26.5500
09/27/21, 26.7500, 26.8500, 26.5500, 26.6500
09/24/21, 26.6500, 26.8500, 26.5500, 26.7500
09/23/21, 26.6500, 26.7500, 26.4500, 26.6500
09/22/21, 26.7500, 26.8500, 26.5500, 26.6500
09/21/21, 26.7500, 26.8500, 26.6500, 26.7500
09/20/21, 26.7500, 26.9500, 26.6500, 26.7500
09/17/21, 26.7500, 26.9500, 26.6500, 26.7500
09/16/21, 26.6500, 26.8500, 26.5500, 26.7500
09/15/21, 26.7500, 26.8500, 26.5500, 26.6500
09/14/21, 26.7500, 26.8500, 26.5500, 26.7500
09/13/21, 26.7500, 27.0500, 26.6500, 26.7500
09/10/21, 26.6500, 26.9500, 26.5500, 26.7500
09/09/21, 26.7500, 26.9500, 26.6500, 26.6500
09/08/21, 26.6500, 26.9500, 26.6500, 26.7500
09/07/21, 26.7500, 26.9500, 26.6500, 26.6500
09/06/21, 26.8500, 27.0500, 26.7500, 26.7500
09/03/21, 27.0500, 27.1500, 26.8500, 26.8500
09/02/21, 27.0500, 27.2500, 26.8500, 27.0500
09/01/21, 26.9500, 27.1500, 26.8500, 27.0500
08/31/21, 26.8500, 27.0500, 26.7500, 26.9500
08/30/21, 26.9500, 27.0500, 26.7500, 26.8500
08/27/21, 26.9500, 27.0500, 26.7500, 26.9500
08/26/21, 26.7500, 27.0500, 26.6500, 26.9500
08/25/21, 26.7500, 26.9500, 26.6500, 26.7500
08/24/21, 26.7500, 26.7500, 26.7500, 26.7500
08/23/21, 26.7500, 26.7500, 26.7500, 26.7500
08/20/21, 26.7500, 26.8500, 26.5500, 26.7500
08/19/21, 26.6500, 26.8500, 26.5500, 26.7500
08/18/21, 26.7500, 26.8500, 26.5500, 26.6500
08/17/21, 26.8500, 26.9500, 26.5500, 26.7500
08/16/21, 26.7500, 26.9500, 26.5500, 26.8500
08/13/21, 26.7500, 26.8500, 26.6500, 26.7500
08/12/21, 26.9500, 26.9500, 26.6500, 26.7500
08/11/21, 26.8500, 26.9500, 26.6500, 26.9500
08/10/21, 26.7500, 26.9500, 26.6500, 26.8500
08/09/21, 26.8500, 26.9500, 26.6500, 26.7500
08/06/21, 26.9500, 27.0500, 26.7500, 26.8500
08/05/21, 26.9500, 27.1500, 26.8500, 26.9500
08/04/21, 26.9500, 27.0500, 26.8500, 26.9500
08/03/21, 26.9500, 27.0500, 26.7500, 26.9500
08/02/21, 26.8500, 27.0500, 26.7500, 26.9500
07/30/21, 26.8500, 27.0500, 26.7500, 26.8500
07/29/21, 26.9500, 27.0500, 26.8500, 26.8500
07/28/21, 26.9500, 27.1500, 26.7500, 26.9500
07/27/21, 26.9500, 27.1500, 26.8500, 26.9500
07/26/21, 27.0500, 27.2500, 26.8500, 26.9500
07/23/21, 27.1500, 27.3500, 26.9500, 27.0500
07/22/21, 27.2500, 27.3500, 27.0500, 27.1500
07/21/21, 27.2500, 27.4500, 27.1500, 27.2500
07/20/21, 27.2500, 27.3500, 27.1500, 27.2500
07/19/21, 27.2500, 27.3500, 27.1500, 27.2500
07/16/21, 27.3500, 27.4500, 27.1500, 27.2500
07/15/21, 27.3500, 27.4500, 27.2500, 27.3500
07/14/21, 27.3500, 27.4500, 27.2500, 27.3500
07/13/21, 27.2500, 27.4500, 27.2500, 27.3500
07/12/21, 27.2500, 27.4500, 27.2500, 27.2500
07/09/21, 27.3500, 27.4500, 27.2500, 27.2500
07/08/21, 27.2500, 27.4500, 27.1500, 27.3500
07/07/21, 27.3500, 27.4500, 27.1500, 27.2500
07/06/21, 27.3500, 27.4500, 27.1500, 27.3500
07/05/21, 27.4500, 27.5500, 27.2500, 27.3500
07/02/21, 27.4500, 27.5500, 27.2500, 27.4500
07/01/21, 27.3500, 27.5500, 27.2500, 27.4500
06/30/21, 27.2500, 27.4500, 27.1500, 27.3500
06/29/21, 27.3500, 27.4500, 27.1500, 27.2500
06/28/21, 27.3500, 27.5500, 27.2500, 27.3500
06/25/21, 27.5500, 27.6500, 27.2500, 27.3500
06/24/21, 27.3500, 27.7500, 27.2500, 27.5500
06/23/21, 27.4500, 27.6500, 27.1500, 27.3500
06/22/21, 27.3500, 27.5500, 27.1500, 27.4500
06/21/21, 27.3500, 27.3500, 27.3500, 27.3500
06/18/21, 27.2500, 27.4500, 27.1500, 27.3500
06/17/21, 27.1500, 27.4500, 27.0500, 27.2500
06/16/21, 27.0500, 27.2500, 26.9500, 27.1500
06/15/21, 26.9500, 27.2500, 26.8500, 27.0500
06/14/21, 27.0500, 27.1500, 26.8500, 26.9500
06/11/21, 27.1500, 27.2500, 26.9500, 27.0500
06/10/21, 27.1500, 27.2500, 27.0500, 27.1500
06/09/21, 27.1500, 27.2500, 27.0500, 27.1500
06/08/21, 27.2500, 27.3500, 27.0500, 27.1500
06/07/21, 27.2500, 27.3500, 27.1500, 27.2500
06/04/21, 27.3500, 27.5500, 27.1500, 27.2500
06/03/21, 27.3500, 27.5500, 27.2500, 27.3500
06/02/21, 27.4500, 27.5500, 27.2500, 27.3500
06/01/21, 27.6500, 27.6500, 27.3500, 27.4500
05/31/21, 27.5500, 27.6500, 27.3500, 27.6500
05/28/21, 27.5500, 27.6500, 27.4500, 27.5500
05/27/21, 27.5500, 27.7500, 27.4500, 27.5500
05/26/21, 27.5500, 27.7500, 27.4500, 27.5500
05/25/21, 27.4500, 27.6500, 27.3500, 27.5500
05/24/21, 27.4500, 27.6500, 27.3500, 27.4500
05/21/21, 27.5500, 27.6500, 27.3500, 27.4500
05/20/21, 27.4500, 27.8500, 27.3500, 27.5500
05/19/21, 27.4500, 27.5500, 27.3500, 27.4500
